objectid,filename,youtubeid,vimeoid,title,author,illustrator,date,genre,subject,synopsis,awards,isbn,classification,format,language,rights,rightsstatement
coll001,badseed.jpg,,,The Bad Seed,"John, Jory","Oswald, Pete",2017,Picture Book,SEL,"A naughty seed with a bad attitude, bad temper, and bad manners vows to change his life for the better, but his efforts are met with skepticism by his friends.","School Library Journal starred, June 2017;",0-06-295456-3,"E, JOH",image/jpeg,,,
coll002,brightside.jpg,,,The Bright Side,"Otis, Chad",,2023,Picture Book,Housing Insecurity,"""When an unhoused boy enters school, he runs afoul of rules and finds himself alone, but finds that he has imagination, resilience, and can define 'the bright side' for himself""","Kirkus Reviews starred
SLJ express starred",0-593-53062-4,"E, OTI",image/jpeg,,,
coll003,dayyoubegin.jpg,,,The Day You Begin,"Woodson, Jacqueline","Lopez, Rafel",2018,Picture Book,"Individuality, friendship, and schools",How a new student feels like an outsider and learn everyone feels that way when the first start at a new school,"Notable/Best Books (ALA), January 2018",978-0-399-24653-1,"E, WOO",image/jpeg,,,
coll004,divorceistheworst.jpg,,,Divorce is the Worst,"Higginbotham, Anastasia",,2019,Picture Book,Divorce,"Part of the Ordinary Terrible Things series, Divorce Is the Worst is a funny but frank picture book for kids whose parents are going through a divorce. In her iconic straightforward-but-sensitive way, author Anastasia Higginbotham sheds light on how hard it is for children to stay whole when their whole world, and the people in it, split apart.",,1-948340-20-8,"306.89, HIG",image/jpeg,,,
coll005,dreamers.jpg,,,Dreamers,"Morales, Yuyi",,2018,Picture Book,"Immigration, Hispanic representation","""An illustrated picture book autobiography in which award-winning author Yuyi Morales tells her own immigration story""--Provided by publisher.","Booklist starred, Horn Book Guide starred, Kirkus starred",1-72542-308-1,"818, MOR",image/jpeg,,,
coll006,everybodycooksrice.jpg,,,Everybody Cooks Rice,"Dooley, Norah","Thornton, Peter J.",1991,Picture Book,Culture practices,A child is sent to find a younger brother at dinnertime and is introduced to a variety of cultures through encountering the many different ways rice is prepared at the different households visited.,,0-87614-412-1,"E, DOO",image/jpeg,,,
coll007,frybread.jpg,,,Fry Bread,"Maillard, Kevin Noble","Martinez-Neal, Juana",2019,Picture Book,Family and tradition,"This portrayal of a modern Native American family, told in lively and powerful verse, uses fry bread as a metaphor for love, sharing, and honoring the old while embracing the new.","School Library Journal Starred, October 2019; Booklist starred, October, 2019; Pub Weekly, August 2019; Kirkus starred, July 2019; New York Times, November 2019; Horn Book, November 2019; Robert F. Sibert Informational Book Award Medal 2020",978-1-62672-746-5,"E, MAI",image/jpeg,,,
coll008,geraldine.jpg,,,Geraldine,"Lilly, Elizabeth",,2018,Picture Book,Friendship and moving,"Moving to a new school and struggling to meet friends, Geraldine befriends a fellow outcast and learns to be comfortable with who she is.",,978-1-62672-359-7,"E, LIL",image/jpeg,,,
coll009,giraffescantdance.jpg,,,Giraffes Can't Dance,"Andrae, Giles","Parker-Rees, Guy",2001,Picture Book,Individuality,"Gerald is too clumsy to dance with all the other animals, until he finds the right music.","IRA Children’s Choice Award, IRA Teacher’s Choice Award",0-439-28719-7,"E, AND",image/jpeg,,,
coll010,hairlove.jpg,,,Hair Love,"Cherry, Matthew A.","Harrison, Vashti",2019,Picture Book,"Father daughter relationship, Hairstyles","A little girl’s dad steps in to help her arrange her wild hair into styles that allow her to be her natural, beautiful self.",,978-0-525-55336-6,"E, CHE",image/jpeg,,,
