objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,badseed.jpg,,,The Bad Seed,"John, Jory; Oswald Pete",2017,"A naughty seed with a bad attitude, bad temper, and bad manners vows to change his life for the better, but his efforts are met with skepticism by his friends.",SEL,,,,"School Library Journal starred, June 2017;","E, JOH",0-06-295456-3,image/jpeg,,,
coll002,brightside.jpg,,,The Bright Side,"Otis, Chad",2023,"""When an unhoused boy enters school, he runs afoul of rules and finds himself alone, but finds that he has imagination, resilience, and can define 'the bright side' for himself""",Housing Insecurity,,,,"Kirkus Reviews starred
SLJ express starred","E, OTI",0-593-53062-4,image/jpeg,,,
coll003,dayyoubegin.jpg,,,The Day You Begin,"Woodson, Jacqueline; Lopez Rafael",2018,How a new student feels like an outsider and learn everyone feels that way when the first start at a new school,"Individuality, friendship, and schools",,,,"Notable/Best Books (ALA), January 2018","E, WOO",978-0-399-24653-1,image/jpeg,,,
coll004,divorceistheworst.jpg,,,Divorce is the Worst,"Higginbotham, Anastasia",2019,"Part of the Ordinary Terrible Things series, Divorce Is the Worst is a funny but frank picture book for kids whose parents are going through a divorce. In her iconic straightforward-but-sensitive way, author Anastasia Higginbotham sheds light on how hard it is for children to stay whole when their whole world, and the people in it, split apart.",Divorce,,,,,"306.89, HIG",1-948340-20-8,image/jpeg,,,
coll005,dreamers.jpg,,,Dreamers,"Morales, Yuyi",2018,"""An illustrated picture book autobiography in which award-winning author Yuyi Morales tells her own immigration story""--Provided by publisher.","Immigration, Hispanic representation",,,,"Booklist starred, Horn Book Guide starred, Kirkus starred","818, MOR",1-72542-308-1,image/jpeg,,,
coll006,everybodycooksrice.jpg,,,Everybody Cooks Rice,"Dooley, Norah; Thornton Pete",1991,A child is sent to find a younger brother at dinnertime and is introduced to a variety of cultures through encountering the many different ways rice is prepared at the different households visited.,Culture practices,,,,,"E, DOO",0-87614-412-1,image/jpeg,,,
coll007,frybread.jpg,,,Fry Bread,"Maillard, Kevin Noble; Martinez-Neal, Juana",2019,"This portrayal of a modern Native American family, told in lively and powerful verse, uses fry bread as a metaphor for love, sharing, and honoring the old while embracing the new.",Family and tradition,,,,"School Library Journal Starred, October 2019; Booklist starred, October, 2019; Pub Weekly, August 2019; Kirkus starred, July 2019; New York Times, November 2019; Horn Book, November 2019; Robert F. Sibert Informational Book Award Medal 2020","E, MAI",978-1-62672-746-5,image/jpeg,,,
coll008,geraldine.jpg,,,Geraldine,"Lilly, Elizabeth",2018,"Moving to a new school and struggling to meet friends, Geraldine befriends a fellow outcast and learns to be comfortable with who she is.",Friendship and moving,,,,,"E, LIL",978-1-62672-359-7,image/jpeg,,,
coll009,giraffescantdance.jpg,,,Giraffes Can't Dance,"Andrae, Giles; Parker-Rees, Guy",2001,"Gerald is too clumsy to dance with all the other animals, until he finds the right music.",Individuality,,,,"IRA Children’s Choice Award, IRA Teacher’s Choice Award","E, AND",0-439-28719-7,image/jpeg,,,
coll010,hairlove.jpg,,,Hair Love,"Cherry, Matthew A.; Harrison, Vashti",2019,"A little girl’s dad steps in to help her arrange her wild hair into styles that allow her to be her natural, beautiful self.","Father daughter relationship, Hairstyles",,,,,"E, CHE",978-0-525-55336-6,image/jpeg,,,
